city,state,population,latitude,longitude,town_matches,state_matches,city_matches,country_matches
Jacksonville,NC,72723,34.751,-77.431,10,0,0,0
Mansfield,TX,72602,32.563,-97.142,12,0,1,0
Dublin,CA,72589,37.706,-121.924,8,0,1,0
St Joseph,MO,72473,39.767,-94.853,6,0,0,0
Bowling Green,KY,72294,36.995,-86.443,4,0,0,0
Baldwin Park,CA,72176,34.086,-117.965,1,0,0,0
Harlingen,TX,71829,26.193,-97.697,0,0,1,0
Camden,NJ,71791,39.944,-75.119,12,0,0,0
Bayonne,NJ,71686,40.666,-74.117,0,0,1,0
Johnson City,TN,71046,36.316,-82.353,4,0,0,0
Wilmington,DE,70898,39.738,-75.553,6,0,1,0
Canton,OH,70872,40.798,-81.375,16,0,0,0
Lafayette,IN,70783,40.419,-86.893,12,0,0,0
Greenville,SC,70720,34.851,-82.399,16,0,1,0
Marysville,WA,70714,48.052,-122.177,6,0,0,0
Waterford,MI,70565,42.66,-83.389,8,0,2,0
Passaic,NJ,70537,40.863,-74.127,1,0,0,0
Decatur,IL,70522,39.843,-88.954,9,0,0,0
St Charles,MO,70493,38.782,-90.481,8,0,0,0
Blaine,MN,70222,45.161,-93.235,5,0,1,0
Union City,CA,70143,37.595,-122.019,8,0,0,0
Walnut Creek,CA,70127,37.897,-122.06,1,0,0,0
Rogers,AR,69908,36.333,-94.116,5,0,0,0
Eastvale,CA,69757,33.962,-117.579,1,0,0,0
Albany,GA,69647,31.577,-84.156,15,0,1,0
Lakeville,MN,69490,44.65,-93.243,3,0,0,0
Eau Claire,WI,69421,44.811,-91.498,2,0,0,0
Gary,IN,69093,41.6,-87.337,3,0,0,0
St Cloud,MN,68881,45.56,-94.162,3,0,0,0
Tulare,CA,68875,36.208,-119.347,1,0,0,0
Eagan,MN,68855,44.805,-93.167,1,0,0,0
Union City,NJ,68589,40.779,-74.024,8,0,0,0
Palo Alto,CA,68572,37.445,-122.162,1,0,1,0
Portland,ME,68408,43.659,-70.257,9,0,1,0
Franklin,NJ,68364,40.499,-74.533,32,0,0,0
Jackson,TN,68205,35.614,-88.819,18,0,0,0
Weston,FL,68107,26.1,-80.383,12,0,0,0
Haverhill,MA,67787,42.777,-71.077,3,0,0,0
San Marcos,TX,67553,29.883,-97.941,1,0,4,0
Waterloo,IA,67314,42.498,-92.336,8,0,2,0
Shawnee,KS,67311,39.014,-94.742,2,0,0,0
Lynwood,CA,67265,33.93,-118.212,2,0,0,0
Georgetown,TX,67176,30.633,-97.677,17,0,5,0
Rockville,MD,67117,39.084,-77.153,6,0,0,0
Middletown,NJ,67106,40.392,-74.099,13,0,0,0
Davis,CA,66850,38.543,-121.74,4,0,0,0
Oshkosh,WI,66816,44.018,-88.538,1,0,0,0
Ames,IA,66427,42.023,-93.62,3,0,1,0
Lodi,CA,66348,38.13,-121.272,4,0,1,0
Malden,MA,66263,42.426,-71.067,3,0,0,0
Madera,CA,66224,36.961,-120.061,0,0,1,0
Gloucester,NJ,66034,39.807,-75.049,1,0,1,0
Janesville,WI,65615,42.683,-89.023,2,0,0,0
Grand Junction,CO,65560,39.067,-108.564,2,0,0,0
Victoria,TX,65534,28.799,-97.006,5,0,9,0
