city,lat,lng,population
Shubra al Khaymah,30.1286,31.2422,1025569
Maceio,-9.6658,-35.7350,1025360
Monrovia,6.3106,-10.8047,1021762
Wafangdian,39.6271,121.9972,1024876
Zhongxiang,31.1690,112.5853,1022514
Odesa,46.4775,30.7326,1017699
Port-au-Prince,18.5425,-72.3386,987310
Villahermosa,17.9892,-92.9281,1013484
Thu Duc,10.7924,106.7518,1013795
Volgograd,48.7086,44.5147,1015586
Mysore,12.3086,76.6531,1014227
Islamabad,33.6989,73.0369,1014825
Xinyi,22.3559,110.9369,1013900
Raipur,21.2379,81.6337,1010087
Arequipa,-16.3988,-71.5369,1008290
Port Harcourt,4.7500,7.0000,1005904
Zaoyang,32.1287,112.7581,1004741
Shuizhai,33.4433,114.8994,1003698
Xingyi,25.0910,104.9011,1004132
Kota,25.1800,75.8300,1001694
Quetta,30.1920,67.0070,1001205
Ottawa,45.4247,-75.6950,989567
Stockholm,59.3294,18.0686,975819
Asmara,15.3333,38.9167,963000
Freetown,8.4833,-13.2331,951000
Vientiane,17.9667,102.6000,948487
Jerusalem,31.7833,35.2167,919438
Bangui,4.3732,18.5628,889231
Panama City,9.0000,-79.5000,880691
Amsterdam,52.3667,4.8833,862965
Lome,6.1319,1.2228,837437
Libreville,0.3901,9.4544,797003
Zagreb,45.8131,15.9772,790017
Dushanbe,38.5731,68.7864,778500
Lilongwe,-13.9833,33.7833,781538
Cotonou,6.4020,2.5180,762000
Colombo,6.9167,79.8333,752993
Pretoria,-25.7464,28.1881,741651
Winnipeg,49.8844,-97.1464,705244
Quebec City,46.8139,-71.2081,705103
Oslo,59.9111,10.7528,693494
Athens,37.9842,23.7281,664046
Bujumbura,-3.3825,29.3611,658859
Helsinki,60.1756,24.9342,642045
Skopje,41.9833,21.4333,640000
Chisinau,47.0228,28.8353,639000
Riga,56.9475,24.1069,614618
Kingston,17.9714,-76.7931,580000
Rabat,34.0253,-6.8361,572717
Vilnius,54.6833,25.2833,574147
San Salvador,13.6989,-89.1914,567698
Djibouti,11.5950,43.1481,562000
Dublin,53.3497,-6.2603,553165
The Hague,52.0800,4.3100,537833
Asuncion,-25.3000,-57.6333,524190
Lisbon,38.7080,-9.1390,506654
Bratislava,48.1447,17.1128,475503
Kitchener,43.4186,-80.4728,470015
Tallinn,59.4372,24.7450,438341
Beirut,33.8869,35.5131,361366
