phoneme,name,latitude,longitude
07615,Sanford,31.487,-89.427
07632,Sapa,33.547,-89.202
07633,Sarah,34.569,-90.210
07635,Saratoga,31.797,-89.677
07640,Sarepta,34.124,-89.287
07648,Savage,34.630,-90.223
07652,Savoy,32.271,-88.770
07681,Scobey,33.941,-89.866
07686,Scotland,32.705,-90.221
07763,Shake Rag,34.002,-88.825
07770,Sharkey,33.905,-90.265
07772,Sharon,32.658,-89.936
07806,Sherard,34.216,-90.706
07813,Sherwood,33.488,-89.134
07821,Shipman,30.878,-88.475
07828,Shoccoe,32.610,-89.901
07833,Short,34.940,-88.198
07841,Sibley,31.379,-91.399
07850,Sykes,32.094,-88.592
07866,Silver Run,30.734,-89.346
07903,Slayden,34.947,-89.441
07923,Smithdale,31.340,-90.683
08029,Sparta,33.769,-88.979
08065,Springdale,34.222,-89.609
08073,Springville,34.232,-89.104
08135,Stafford Springs,31.905,-88.933
08151,Stanton,31.616,-91.240
08155,Star,32.094,-90.046
08180,Steiner,33.616,-90.618
08185,Stephenville,33.548,-90.672
08237,Stovall,34.297,-90.645
08249,Stratton,32.500,-89.134
08255,Stringtown,33.575,-90.984
08256,Strong,33.695,-88.604
08324,Sunnyside,33.696,-90.295
08354,Swan Lake,33.875,-90.283
08362,Sweatman,33.634,-89.580
08370,Swiftwater,33.337,-91.060
08403,Tallula,32.779,-91.114
08439,Teasdale,34.116,-90.022
08452,Ten Mile,30.766,-89.144
08470,Texas,30.886,-89.272
08495,Thomastown,32.864,-89.669
08501,Thorn,33.943,-89.103
08506,Thornton,33.079,-90.323
08523,Tibbee,33.528,-88.631
08531,Tilden,34.187,-88.352
08551,Tyro,34.584,-89.705
08583,Topeka,31.415,-90.188
08635,Trinity,33.346,-88.462
08652,Troy,34.119,-88.885
08689,Turon,34.104,-88.325
08696,Tuscola,32.620,-89.528
08733,Una,33.797,-88.807
08739,Union Church,31.683,-90.787
08797,Valley Hill,33.504,-90.061
08816,Vance,34.073,-90.351
08832,Vaughan,32.806,-90.042
08854,Vernal,31.039,-88.611
08856,Vernon,31.910,-89.153
08856,Vernon,32.590,-90.330
08856,Vernon,32.986,-88.931
08864,Veto,31.578,-90.771
08966,Wallis,31.156,-89.238
08971,Walnut,34.149,-90.399
09006,Warrenton,32.248,-90.928
09014,Washington,31.579,-91.299
09046,Waverly,33.568,-88.504
09047,Waxhaw,33.917,-90.969
09054,Wayside,33.269,-91.034
09089,Wells,33.598,-88.394
09187,Westville,33.854,-88.386
09260,Whitfield,31.445,-89.074
09260,Whitfield,32.236,-90.072
09273,Whynot,32.289,-88.490
09279,Wiggins,32.702,-89.637
09291,Wildwood,33.619,-90.241
09295,Wilkinson,31.223,-91.239
09302,Williamsburg,31.619,-89.611
09308,Williamsville,33.027,-89.567
09339,Winborn,34.631,-89.273
09349,Wingate,31.203,-89.001
09417,Woodlawn,33.623,-88.313
09451,Wren,33.972,-88.600
09511,Zama,32.975,-89.380
09524,Zero,32.300,-88.651
